# Time [sec]	adc_raw[0]	adc_raw[1]	adc_raw[2]	adc_raw[3]	adc_raw[4]	adc_raw[6]
91.406	2025	2117	2080	37471531	536871336	335814656
91.422	2029	2118	2081	37471531	536871336	335814656
91.438	2029	2116	2083	37471531	536871336	335814656
91.453	2026	2116	2083	37471531	536871336	335814656
91.469	2029	2116	2085	37471531	536871336	335814656
91.484	2030	2117	2087	37471531	536871336	335814656
91.5	2031	2119	2088	37471531	536871336	335814656
91.516	2027	2121	2087	37471531	536871336	335814656
91.531	2028	2116	2086	37471531	536871336	335814656
91.547	2029	2118	2085	37471531	536871336	335814656
91.563	2031	2118	2088	37471531	536871336	335814656
91.578	2028	2116	2087	37471531	536871336	335814656
91.594	2027	2116	2087	37471531	536871336	335814656
91.609	2026	2126	2092	37471531	536871336	335814656
91.625	2024	2125	2090	71025963	536870932	335814656
91.641	2024	2116	2092	71025963	536870932	335814656
91.656	2025	2117	2094	71025963	536870932	335814656
91.672	2036	2116	2096	71025963	536870932	335814656
91.688	2029	2118	2096	71025963	536870932	335814656
91.703	2032	2117	2097	71025963	536870932	335814656
91.719	2026	2117	2101	71025963	536870932	335814656
91.734	2033	2116	2099	71025963	536870932	335814656
91.75	2023	2119	2101	71025963	536870932	335814656
91.766	2025	2115	2100	71025963	536870932	335814656
91.781	2025	2116	2101	71025963	536870932	335814656
91.797	2024	2114	2102	71025963	536870932	335814656
91.813	2023	2122	2106	71025963	536870932	335814656
91.828	2025	2120	2103	71025963	536870932	335814656
91.844	2024	2123	2104	71025963	536870932	335814656
91.859	2032	2112	2101	71025963	536870932	335814656
91.875	2022	2115	2105	71025963	536870932	335814656
91.891	2032	2115	2104	71025963	536870932	335814656
91.906	2023	2117	2103	71025963	536870932	335814656
91.922	2024	2117	2104	71025963	536870932	335814656
91.938	2024	2116	2105	71025963	536870932	335814656
91.953	2025	2113	2109	20694315	536880094	335814656
91.969	2025	2113	2107	71025963	536879648	335814656
91.984	2023	2114	2105	71025963	536879648	335814656
92	2021	2114	2107	37471531	536871334	335814656
92.016	2027	2118	2106	37471531	536871336	335814656
92.031	2024	2116	2108	37471531	536871336	335814656
92.047	2021	2112	2123	37471531	536871336	335814656
92.063	2019	2111	2124	37471531	536871336	335814656
92.078	2019	2109	2123	37471531	536871336	335814656
92.094	2019	2120	2123	37471531	536871336	335814656
92.109	2017	2117	2124	37471531	536871336	335814656
92.125	2018	2112	2122	37471531	536871336	335814656
92.141	2027	2113	2123	37471531	536871336	335814656
92.156	2017	2111	2123	37471531	536871336	335814656
92.172	2019	2110	2124	37471531	536871336	335814656
92.188	2019	2111	2126	37471531	536871336	335814656
92.203	2019	2109	2127	37471531	536871336	335814656
92.219	2015	2112	2127	37471531	536871336	335814656
92.234	2018	2113	2125	37471531	536871336	335814656
92.25	2017	2111	2126	37471531	536871336	335814656
92.266	2031	2111	2126	37471531	536871336	335814656
92.281	2021	2111	2127	37471531	536871336	335814656
92.297	2017	2112	2129	37471531	536871336	335814656
92.313	2019	2109	2128	37471531	536871336	335814656
92.328	2016	2111	2129	37471531	536871336	335814656
92.344	2016	2110	2125	37471531	536871336	335814656
92.359	2020	2115	2129	37471531	536871336	335814656
92.375	2014	2112	2128	37471531	536871336	335814656
92.391	2019	2109	2130	37471531	536871336	335814656
92.406	2017	2109	2130	37471531	536871336	335814656
92.422	2015	2112	2128	37471531	536871336	335814656
92.438	2019	2112	2134	37471531	536871336	335814656
92.453	2016	2112	2132	37471531	536871336	335814656
92.469	2016	2112	2132	37471531	536871336	335814656
92.484	2021	2111	2131	37471531	536871336	335814656
92.5	2016	2107	2132	37471531	536871336	335814656
92.516	2015	2109	2133	37471531	536871336	335814656
92.531	2030	2111	2133	37471531	536871336	335814656
92.547	2015	2108	2135	37471531	536871336	335814656
